Day,Temperature,Humidity,Rainfall,Soil Moisture,Disease,Disease Severity (%)
297,29.5,59.51,11.14,32.62,Tomato___Tomato_Yellow_Leaf_Curl_Virus,83.05
1,27.48,63.36,9.08,31.79,Tomato___healthy,0
266,18.76,82.94,11.41,33.83,Tomato___Target_Spot,67.91
353,29.29,54.55,8.82,31.48,Tomato___Tomato_mosaic_virus,100
205,18.11,60.28,0,28.19,Tomato___Septoria_leaf_spot,48.82
360,20.86,57.24,4.63,30.23,Tomato___Tomato_mosaic_virus,100
308,22.04,54.43,15.47,35.53,Tomato___Tomato_Yellow_Leaf_Curl_Virus,81.89
153,21.6,61.49,11.82,33.75,Tomato___Leaf_Mold,46.12
42,25.86,57.86,14.73,34.78,Tomato___Bacterial_spot,21.67
130,22.48,68.08,0,27.75,Tomato___Late_blight,35.87
237,14.87,73.04,4.6,30.81,Tomato___Spider_mites Two-spotted_spider_mite,63.21
79,25.46,40.43,3.13,29.02,Tomato___Early_blight,24.88
139,29.07,50.24,3.23,28.71,Tomato___Late_blight,44.63
156,21.43,68.15,1.41,28.56,Tomato___Leaf_Mold,39.1
345,22.64,63.17,0,27.74,Tomato___Tomato_mosaic_virus,90.46
141,26.14,51.11,0,27.39,Tomato___Late_blight,36.21
325,19.97,54.59,4.74,30.38,Tomato___Tomato_Yellow_Leaf_Curl_Virus,90.26
346,26.16,58.55,0.72,27.74,Tomato___Tomato_mosaic_virus,87.41
204,30.27,54.73,0,26.97,Tomato___Septoria_leaf_spot,56.46
140,18.85,52.69,0,28.12,Tomato___Late_blight,38.71
53,21.62,77.69,10.6,33.14,Tomato___Bacterial_spot,16.72
291,23.96,60.21,4.76,29.98,Tomato___Target_Spot,70.44
334,21.61,57.23,0,27.84,Tomato___Tomato_mosaic_virus,89.41
293,22.05,62.97,22.28,38.93,Tomato___Target_Spot,83.8
34,19.71,78.57,0,28.03,Tomato___healthy,0
99,25.03,58.32,0,27.5,Tomato___Early_blight,25.23
9,22.65,92.3,0,27.73,Tomato___healthy,0
206,20.31,85.15,12.08,34.01,Tomato___Septoria_leaf_spot,55.61
48,30.29,79.17,11.21,32.57,Tomato___Bacterial_spot,9.76
105,24.19,55.87,20.51,37.83,Tomato___Early_blight,40.69
298,26.54,51.85,0,27.35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,73.98
282,28.31,59.19,0,27.17,Tomato___Target_Spot,79.17
11,22.68,73.08,0,27.73,Tomato___healthy,0
200,19.29,53.88,23.81,39.98,Tomato___Septoria_leaf_spot,57.31
115,24.04,58.08,7.89,31.54,Tomato___Late_blight,29.83
330,28.14,55.36,0,27.19,Tomato___Tomato_Yellow_Leaf_Curl_Virus,92.44
319,26.62,41.67,0,27.34,Tomato___Tomato_Yellow_Leaf_Curl_Virus,96.25
6,23.83,67.47,14.83,35.03,Tomato___healthy,0
337,20.87,49.43,0.32,28.07,Tomato___Tomato_mosaic_virus,87.2
